,property,units,n_points,value,PID,formula,polymername
1,Glass transition temp.,C,1,107.0,P390251,C45H42N4O4,"poly{[9,9-(heptane-1,7-diyl)bis(9H-carbazole-3-carbaldehyde)]-alt-[hexane-1,6-diyl bis(cyanoacetate)]}"
1,Glass transition temp.,C,1,117.0,P390252,C44H40N4O4,"poly{[9,9-(hexane-1,6-diyl)bis(9H-carbazole-3-carbaldehyde)]-alt-[hexane-1,6-diyl bis(cyanoacetate)]}"
1,Melting temp.,C,2,580.0,P390253,C26H16O4,"poly[biphenol-alt-(biphenyl-4,4-dicarboxylic acid)]"
1,Melting temp.,C,2,497.0,P390254,C20H12O4,"poly[hydroquinone-alt-(biphenyl-4,4-dicarboxylic acid)]"
1,Melting temp.,C,1,385.0,P390255,C24H14O4,"poly[(naphthalene-2,6-diol)-alt-(biphenyl-4,4-dicarboxylic acid)]"
1,Melting temp.,C,3,571.5,P390256,C13H8O2,poly(4'-acetoxybiphenyl-4-carboxylic acid)
1,Glass transition temp.,C,1,-50.0,P390257,C11H18O2,poly(3-hydroxy-10-undecenoic acid)
2,Melting temp.,C,1,35.0,P390257,C11H18O2,poly(3-hydroxy-10-undecenoic acid)
1,Glass transition temp.,C,1,14.5,P390258,C11H12O2,poly(3-hydroxy-5-phenylpentanoate)
2,Melting temp.,C,1,61.5,P390258,C11H12O2,poly(3-hydroxy-5-phenylpentanoate)
1,Glass transition temp.,C,3,-34.5,P390259,C8H14O2,poly(3-hydroxyoctanoate)
2,Melting temp.,C,3,57.5,P390259,C8H14O2,poly(3-hydroxyoctanoate)
1,Glass transition temp.,C,2,65.0,P390281,C29H26O8,"poly{(heptane-1,7-diol)-alt-[4,4'-(terephthaloylbisoxy)benzoyl dichloride]}"
1,Melting temp.,C,3,543.5,P390283,C11H6O2,poly(6-hydroxy-2-naphthoic acid)
1,Glass transition temp.,C,1,283.0,P390284,C28H16O8,"poly{hydroquinone-alt-[4,4'-(terephthaloyldioxy)dibenzoyl chloride]}"
2,Melting temp.,C,2,392.5,P390284,C28H16O8,"poly{hydroquinone-alt-[4,4'-(terephthaloyldioxy)dibenzoyl chloride]}"
1,Melting temp.,C,1,342.0,P390292,C24H16O8,"poly{(ethylene glycol)-alt-[4,4'-(terephthaloyldioxy)dibenzoyl chloride]}"
1,Melting temp.,C,4,294.0,P390311,C10H10O2,poly(4-hydroxy-3-propylbenzoic acid)
1,Glass transition temp.,C,1,50.0,P390312,C12H14O2,poly(4-hydroxy-3-pentylbenzoic acid)
2,Melting temp.,C,1,275.0,P390312,C12H14O2,poly(4-hydroxy-3-pentylbenzoic acid)
1,Glass transition temp.,C,1,180.0,P390319,C22H16O4,"poly[(ethylene glycol)-alt-(dipropyl p-terphenyl-4,4''-dicarboxylate)]"
1,Glass transition temp.,C,1,180.0,P390320,C24H20O4,"poly[(butane-1,4-diol)-alt-(dipropyl p-terphenyl-4,4''-dicarboxylate)]"
1,Glass transition temp.,C,1,40.0,P390321,C25H22O4,"poly[(pentane-1,5-diol)-alt-(dipropyl p-terphenyl-4,4''-dicarboxylate)]"
1,Glass transition temp.,C,1,60.0,P390322,C26H24O4,"poly[(hexane-1,6-diol)-alt-(dipropyl p-terphenyl-4,4''-dicarboxylate)]"
1,Glass transition temp.,C,1,50.0,P390323,C30H32O4,"poly[(decane-1,10-diol)-alt-(dipropyl p-terphenyl-4,4''-dicarboxylate)]"
1,Glass transition temp.,C,1,-20.0,P390324,C27H26O4,"poly[(2,2-diethylpropane-1,3-diol)-alt-(dipropyl p-terphenyl-4,4''-dicarboxylate)]"
1,Glass transition temp.,C,1,100.0,P390325,C25H22O4,"poly[(2,2-dimethylpropane-1,3-diol)-alt-(dipropyl p-terphenyl-4,4''-dicarboxylate)]"
1,Glass transition temp.,C,1,60.0,P390326,C21H20O4,"poly[(pentane-1,5-diol)-alt-(dibutyl stilbene-4,4'-dicarboxylate)]"
1,Glass transition temp.,C,1,80.0,P390329,C21H20O4,"poly[(2,2-dimethylpropane-1,3-diol)-alt-(dibutyl stilbene-4,4'-dicarboxylate)]"
1,Glass transition temp.,C,1,49.0,P390332,C18H24O8S2,"poly{[3,3'-(butane-1,4-diyldisulfonyl)dipropanol]-alt-(diphenyl phthalate)}"
1,Glass transition temp.,C,1,52.0,P390333,C17H22O8S2,"poly{[3,3'-(propane-1,3-diyldisulfonyl)dipropanol]-alt-(diphenyl phthalate)}"
1,Glass transition temp.,C,1,65.0,P390334,C18H24O8S2,"poly{[3,3'-(butane-1,4-diyldisulfonyl)dipropanol]-alt-(diphenyl isophthalate)}"
1,Glass transition temp.,C,1,67.0,P390335,C17H22O8S2,"poly{[3,3'-(propane-1,3-diyldisulfonyl)dipropanol]-alt-(diphenyl isophthalate)}"
1,Glass transition temp.,C,1,143.0,P390338,C14H8O4,"poly[(2,4-hexadiyne-1,6-diol)-alt-(terephthaloyl dichloride)]"
1,Glass transition temp.,C,1,-71.0,P390342,C6H10O2,poly(3-methyl-delta-valerolactone)
1,Melting temp.,C,1,500.0,P390359,C7H3ClO2,poly(3-chloro-4-hydroxybenzoic acid)
1,Glass transition temp.,C,1,53.0,P390363,C18H20N2O8,"poly{[2,2'-(terephthaloyldioxy)diethyl bischloroformate]-alt-piperazine}"
2,Melting temp.,C,1,220.0,P390363,C18H20N2O8,"poly{[2,2'-(terephthaloyldioxy)diethyl bischloroformate]-alt-piperazine}"
1,Glass transition temp.,C,1,105.0,P390365,C20H12O5,"poly({1,4-bis[(trimethylsilyl)oxy]benzene}-alt-(2-phenoxyterephthaloyl dichloride))"
2,Melting temp.,C,1,348.0,P390365,C20H12O5,"poly({1,4-bis[(trimethylsilyl)oxy]benzene}-alt-(2-phenoxyterephthaloyl dichloride))"
